"Gettysburg Area School District","1","910","50","50"
"139","NeedGoogleMapsAPIKey","39.8041585","-77.2278438","1"
"140","NeedGoogleMapsAPIKey","39.8147686","-77.2056819","1"
"141","NeedGoogleMapsAPIKey","39.8229554","-77.2380345","1"
"142","NeedGoogleMapsAPIKey","39.8196807","-77.2348344","1"
"143","NeedGoogleMapsAPIKey","39.7988835","-77.2292072","1"
"144","NeedGoogleMapsAPIKey","39.8224084","-77.2303103","1"
"145","NeedGoogleMapsAPIKey","39.8039374","-77.1856486","1"
"146","NeedGoogleMapsAPIKey","39.8107112","-77.1914932","1"
"147","NeedGoogleMapsAPIKey","39.8057263","-77.1932961","1"
"148","NeedGoogleMapsAPIKey","39.8077556","-77.194111","1"
"149","NeedGoogleMapsAPIKey","39.8096858","-77.1822975","1"
"150","NeedGoogleMapsAPIKey","39.8095749","-77.1896083","1"
"151","NeedGoogleMapsAPIKey","39.8010699","-77.1845475","1"
"152","NeedGoogleMapsAPIKey","39.818661","-77.1822239","1"
"153","NeedGoogleMapsAPIKey","39.7995132","-77.1882558","1"
"154","NeedGoogleMapsAPIKey","39.7984834","-77.1864565","1"
"155","NeedGoogleMapsAPIKey","39.8143924","-77.1890774","1"
"156","NeedGoogleMapsAPIKey","39.8156505","-77.1830495","1"
"157","NeedGoogleMapsAPIKey","39.8104503","-77.1909196","1"
"158","NeedGoogleMapsAPIKey","39.809047","-77.1910975","1"
"159","NeedGoogleMapsAPIKey","39.8051093","-77.1824678","1"
"160","NeedGoogleMapsAPIKey","39.8044708","-77.1962171","1"
"161","NeedGoogleMapsAPIKey","39.8142884","-77.1914498","1"
"162","NeedGoogleMapsAPIKey","39.805267","-77.1870062","1"
"163","NeedGoogleMapsAPIKey","39.8072564","-77.1909119","1"
"164","NeedGoogleMapsAPIKey","39.8120844","-77.1914777","1"
"165","NeedGoogleMapsAPIKey","39.8153914","-77.1891229","1"
"166","NeedGoogleMapsAPIKey","39.8129732","-77.1882777","1"
"167","NeedGoogleMapsAPIKey","39.800749","-77.1888403","1"
"168","NeedGoogleMapsAPIKey","39.813834","-77.1878622","1"
"169","NeedGoogleMapsAPIKey","39.8110824","-77.1879385","1"
"170","NeedGoogleMapsAPIKey","39.7958278","-77.1803509","1"
"171","NeedGoogleMapsAPIKey","39.8025812","-77.1853805","1"
"172","NeedGoogleMapsAPIKey","39.8083585","-77.1898371","1"
"173","NeedGoogleMapsAPIKey","39.8134253","-77.1922455","1"
"174","NeedGoogleMapsAPIKey","39.808195","-77.1890335","1"
"175","NeedGoogleMapsAPIKey","39.8158803","-77.1886659","1"
"176","NeedGoogleMapsAPIKey","39.7974375","-77.1718851","1"
"177","NeedGoogleMapsAPIKey","39.8136634","-77.1854174","1"
"178","NeedGoogleMapsAPIKey","39.8075803","-77.1904998","1"
"179","NeedGoogleMapsAPIKey","39.8027856","-77.1938771","1"
"180","NeedGoogleMapsAPIKey","39.803072","-77.1949826","1"
"181","NeedGoogleMapsAPIKey","39.8060003","-77.1840336","1"
"182","NeedGoogleMapsAPIKey","39.8111698","-77.191912","1"
"183","NeedGoogleMapsAPIKey","39.801397","-77.1886619","1"
"184","NeedGoogleMapsAPIKey","39.80623","-77.1796258","1"
"185","NeedGoogleMapsAPIKey","39.8209695","-77.1839815","1"
"186","NeedGoogleMapsAPIKey","39.7986042","-77.1886612","1"
"187","NeedGoogleMapsAPIKey","39.8021686","-77.1939528","1"
"188","NeedGoogleMapsAPIKey","39.812252","-77.1887508","1"
"189","NeedGoogleMapsAPIKey","39.8084367","-77.1816665","1"
"190","NeedGoogleMapsAPIKey","39.8169781","-77.182079","1"
"191","NeedGoogleMapsAPIKey","39.8133138","-77.1881755","1"
"192","NeedGoogleMapsAPIKey","39.8144231","-77.1868115","1"
"193","NeedGoogleMapsAPIKey","39.8196883","-77.1804693","1"
"194","NeedGoogleMapsAPIKey","39.8061863","-77.1905059","1"
"195","NeedGoogleMapsAPIKey","39.8058452","-77.1818065","1"
"196","NeedGoogleMapsAPIKey","39.8025715","-77.1872517","1"
"197","NeedGoogleMapsAPIKey","39.8052279","-77.1924664","1"
"198","NeedGoogleMapsAPIKey","39.8300722","-77.2638136","1"
"199","NeedGoogleMapsAPIKey","39.8163064","-77.2839871","1"
"200","NeedGoogleMapsAPIKey","39.8272457","-77.2481931","1"
"201","NeedGoogleMapsAPIKey","39.8224822","-77.258559","1"
"202","NeedGoogleMapsAPIKey","39.8344337","-77.2669372","1"
"203","NeedGoogleMapsAPIKey","39.8274549","-77.2491301","1"
"204","NeedGoogleMapsAPIKey","39.8314788","-77.2749895","1"
"205","NeedGoogleMapsAPIKey","39.8222684","-77.2532358","1"
"206","NeedGoogleMapsAPIKey","39.8270375","-77.2620748","1"
"207","NeedGoogleMapsAPIKey","39.8360302","-77.2677881","1"
"208","NeedGoogleMapsAPIKey","39.8321819","-77.2681446","1"
"209","NeedGoogleMapsAPIKey","39.8265978","-77.241449","1"
"210","NeedGoogleMapsAPIKey","39.8374668","-77.2589182","1"
"211","NeedGoogleMapsAPIKey","39.8254541","-77.2542906","1"
"212","NeedGoogleMapsAPIKey","39.8353904","-77.2700832","1"
"213","NeedGoogleMapsAPIKey","39.8272662","-77.2442042","1"
"214","NeedGoogleMapsAPIKey","39.8278242","-77.2744367","1"
"215","NeedGoogleMapsAPIKey","39.8223765","-77.2559591","1"
"216","NeedGoogleMapsAPIKey","39.8299704","-77.2596109","1"
"217","NeedGoogleMapsAPIKey","39.8284613","-77.266687","1"
"218","NeedGoogleMapsAPIKey","39.8273315","-77.249514","1"
"219","NeedGoogleMapsAPIKey","39.8371366","-77.2649735","1"
"220","NeedGoogleMapsAPIKey","39.8256684","-77.2522574","1"
"221","NeedGoogleMapsAPIKey","39.8228145","-77.2702144","1"
"222","NeedGoogleMapsAPIKey","39.8377867","-77.2681747","1"
"223","NeedGoogleMapsAPIKey","39.8296619","-77.2455433","1"
"224","NeedGoogleMapsAPIKey","39.8345167","-77.2747019","1"
"225","NeedGoogleMapsAPIKey","39.8278382","-77.2597206","1"
"226","NeedGoogleMapsAPIKey","39.8272388","-77.2637969","1"
"227","NeedGoogleMapsAPIKey","39.8230782","-77.2576614","1"
"228","NeedGoogleMapsAPIKey","39.8084993","-77.2810645","1"
"229","NeedGoogleMapsAPIKey","39.8257606","-77.2646206","1"
"230","NeedGoogleMapsAPIKey","39.8370585","-77.2692515","1"
"231","NeedGoogleMapsAPIKey","39.8227231","-77.2787556","1"
"232","NeedGoogleMapsAPIKey","39.834125","-77.2685737","1"
"233","NeedGoogleMapsAPIKey","39.8108615","-77.2880398","1"
"234","NeedGoogleMapsAPIKey","39.8250512","-77.279533","1"
"235","NeedGoogleMapsAPIKey","39.8216834","-77.2726057","1"
"236","NeedGoogleMapsAPIKey","39.8349136","-77.273583","1"
"237","NeedGoogleMapsAPIKey","39.8268842","-77.2631298","1"
"238","NeedGoogleMapsAPIKey","39.8248994","-77.2551765","1"
"239","NeedGoogleMapsAPIKey","39.8278856","-77.2678792","1"
"240","NeedGoogleMapsAPIKey","39.8262707","-77.2638463","1"
"241","NeedGoogleMapsAPIKey","39.8256891","-77.2648868","1"
"242","NeedGoogleMapsAPIKey","39.8313449","-77.2748328","1"
"243","NeedGoogleMapsAPIKey","39.8254352","-77.2727916","1"
"244","NeedGoogleMapsAPIKey","39.8290001","-77.2678765","1"
"245","NeedGoogleMapsAPIKey","39.8360474","-77.268737","1"
"246","NeedGoogleMapsAPIKey","39.825765","-77.2639134","1"
"247","NeedGoogleMapsAPIKey","39.8235092","-77.269528","1"
"248","NeedGoogleMapsAPIKey","39.8292477","-77.2604233","1"
"249","NeedGoogleMapsAPIKey","39.8026911","-77.2707185","1"
"250","NeedGoogleMapsAPIKey","39.8248472","-77.2719888","1"
"251","NeedGoogleMapsAPIKey","39.8108249","-77.2704871","1"
"252","NeedGoogleMapsAPIKey","39.8302587","-77.2577892","1"
"253","NeedGoogleMapsAPIKey","39.8252971","-77.2688183","1"
"254","NeedGoogleMapsAPIKey","39.8235218","-77.2561885","1"
"255","NeedGoogleMapsAPIKey","39.8225378","-77.2543367","1"
"256","NeedGoogleMapsAPIKey","39.8288085","-77.2624623","1"
"257","NeedGoogleMapsAPIKey","39.8346137","-77.2746419","1"
"258","NeedGoogleMapsAPIKey","39.8326578","-77.2679517","1"
"259","NeedGoogleMapsAPIKey","39.8259237","-77.2474799","1"
"260","NeedGoogleMapsAPIKey","39.8288082","-77.2652112","1"
"261","NeedGoogleMapsAPIKey","39.8233222","-77.2768557","1"
"262","NeedGoogleMapsAPIKey","39.8258783","-77.2500152","1"
"263","NeedGoogleMapsAPIKey","39.8350096","-77.2743924","1"
"264","NeedGoogleMapsAPIKey","39.8308938","-77.267226","1"
"265","NeedGoogleMapsAPIKey","39.8041473","-77.2730454","1"
"266","NeedGoogleMapsAPIKey","39.8379827","-77.2692805","1"
"267","NeedGoogleMapsAPIKey","39.8311329","-77.274425","1"
"268","NeedGoogleMapsAPIKey","39.8276327","-77.2622352","1"
"269","NeedGoogleMapsAPIKey","39.8243779","-77.2771649","1"
"270","NeedGoogleMapsAPIKey","39.8342474","-77.2727127","1"
"271","NeedGoogleMapsAPIKey","39.8261965","-77.2712796","1"
"272","NeedGoogleMapsAPIKey","39.8262664","-77.251367","1"
"273","NeedGoogleMapsAPIKey","39.8270129","-77.2648605","1"
"274","NeedGoogleMapsAPIKey","39.824749","-77.2875124","1"
"275","NeedGoogleMapsAPIKey","39.8231221","-77.2575242","1"
"276","NeedGoogleMapsAPIKey","39.8296367","-77.2698024","1"
"277","NeedGoogleMapsAPIKey","39.8288528","-77.264587","1"
"278","NeedGoogleMapsAPIKey","39.8276754","-77.2604445","1"
"279","NeedGoogleMapsAPIKey","39.8309511","-77.2732232","1"
"280","NeedGoogleMapsAPIKey","39.8301385","-77.2762749","1"
"281","NeedGoogleMapsAPIKey","39.8252499","-77.2800377","1"
"282","NeedGoogleMapsAPIKey","39.8307931","-77.267833","1"
"283","NeedGoogleMapsAPIKey","39.8346037","-77.2718163","1"
"284","NeedGoogleMapsAPIKey","39.8282085","-77.2722969","1"
"285","NeedGoogleMapsAPIKey","39.8270718","-77.260748","1"
"286","NeedGoogleMapsAPIKey","39.8211167","-77.2991742","1"
"287","NeedGoogleMapsAPIKey","39.8269438","-77.2491656","1"
"288","NeedGoogleMapsAPIKey","39.8264648","-77.2424571","1"
"289","NeedGoogleMapsAPIKey","39.8358536","-77.2702383","1"
"290","NeedGoogleMapsAPIKey","39.8273642","-77.2621427","1"
"291","NeedGoogleMapsAPIKey","39.8349678","-77.2735641","1"
"292","NeedGoogleMapsAPIKey","39.8251416","-77.2797873","1"
"293","NeedGoogleMapsAPIKey","39.8255918","-77.2705972","1"
"294","NeedGoogleMapsAPIKey","39.8257506","-77.2642901","1"
"295","NeedGoogleMapsAPIKey","39.8261846","-77.272115","1"
"296","NeedGoogleMapsAPIKey","39.8233577","-77.2550665","1"
"297","NeedGoogleMapsAPIKey","39.8340651","-77.2672745","1"
"298","NeedGoogleMapsAPIKey","39.8276358","-77.2408934","1"
"299","NeedGoogleMapsAPIKey","39.8265829","-77.2613114","1"
"300","NeedGoogleMapsAPIKey","39.8264256","-77.2520336","1"
"301","NeedGoogleMapsAPIKey","39.8336406","-77.27279","1"
"302","NeedGoogleMapsAPIKey","39.8216785","-77.2679614","1"
"303","NeedGoogleMapsAPIKey","39.8264145","-77.2746876","1"
"304","NeedGoogleMapsAPIKey","39.8231907","-77.2566952","1"
"305","NeedGoogleMapsAPIKey","39.8252135","-77.2696156","1"
"306","NeedGoogleMapsAPIKey","39.8385753","-77.268504","1"
"307","NeedGoogleMapsAPIKey","39.8379079","-77.2636371","1"
