"Gettysburg Area School District","5","2414","50","50"
"297","NeedGoogleMapsAPIKey","39.8218532","-77.2351442","1"
"298","NeedGoogleMapsAPIKey","39.8266886","-77.2341076","1"
"299","NeedGoogleMapsAPIKey","39.8184427","-77.2399484","1"
"300","NeedGoogleMapsAPIKey","39.8263991","-77.2378016","1"
"301","NeedGoogleMapsAPIKey","39.8178853","-77.2398129","1"
"302","NeedGoogleMapsAPIKey","39.8034042","-77.2304125","1"
"303","NeedGoogleMapsAPIKey","39.8229446","-77.2326193","1"
"304","NeedGoogleMapsAPIKey","39.8176044","-77.2381091","1"
"305","NeedGoogleMapsAPIKey","39.825439","-77.2331424","1"
"306","NeedGoogleMapsAPIKey","39.8040182","-77.1965577","1"
"307","NeedGoogleMapsAPIKey","39.7980014","-77.1976434","1"
"308","NeedGoogleMapsAPIKey","39.7955801","-77.2157096","1"
"309","NeedGoogleMapsAPIKey","39.8206403","-77.2384177","1"
"310","NeedGoogleMapsAPIKey","39.8226218","-77.2341931","1"
"311","NeedGoogleMapsAPIKey","39.7936446","-77.2313186","1"
"312","NeedGoogleMapsAPIKey","39.8217741","-77.2345442","1"
"313","NeedGoogleMapsAPIKey","39.823429","-77.2373215","1"
"314","NeedGoogleMapsAPIKey","39.8053427","-77.2079401","1"
"315","NeedGoogleMapsAPIKey","39.8205415","-77.2372498","1"
"316","NeedGoogleMapsAPIKey","39.8262282","-77.2334279","1"
"317","NeedGoogleMapsAPIKey","39.8248386","-77.2307706","1"
"318","NeedGoogleMapsAPIKey","39.819099","-77.2371149","1"
"319","NeedGoogleMapsAPIKey","39.8008677","-77.2030615","1"
"320","NeedGoogleMapsAPIKey","39.8231911","-77.2367875","1"
"321","NeedGoogleMapsAPIKey","39.8044405","-77.2292119","1"
"322","NeedGoogleMapsAPIKey","39.798624","-77.2192706","1"
"323","NeedGoogleMapsAPIKey","39.800177","-77.2039171","1"
"324","NeedGoogleMapsAPIKey","39.8270888","-77.2331523","1"
"325","NeedGoogleMapsAPIKey","39.7972353","-77.2228097","1"
"326","NeedGoogleMapsAPIKey","39.8215632","-77.2353719","1"
"327","NeedGoogleMapsAPIKey","39.8000813","-77.2025517","1"
"328","NeedGoogleMapsAPIKey","39.7928294","-77.2051825","1"
"329","NeedGoogleMapsAPIKey","39.8269546","-77.2321336","1"
"330","NeedGoogleMapsAPIKey","39.8249318","-77.2331369","1"
"331","NeedGoogleMapsAPIKey","39.8081412","-77.2181262","1"
"332","NeedGoogleMapsAPIKey","39.8021172","-77.2067202","1"
"333","NeedGoogleMapsAPIKey","39.821085","-77.2342557","1"
"334","NeedGoogleMapsAPIKey","39.818116","-77.2401037","1"
"335","NeedGoogleMapsAPIKey","39.8210251","-77.2350393","1"
"336","NeedGoogleMapsAPIKey","39.797225","-77.1973055","1"
"337","NeedGoogleMapsAPIKey","39.8208112","-77.237097","1"
"338","NeedGoogleMapsAPIKey","39.8189504","-77.239581","1"
"339","NeedGoogleMapsAPIKey","39.826739","-77.232771","1"
"340","NeedGoogleMapsAPIKey","39.8017079","-77.2042024","1"
"341","NeedGoogleMapsAPIKey","39.8266762","-77.2343877","1"
"342","NeedGoogleMapsAPIKey","39.8210575","-77.2369126","1"
"343","NeedGoogleMapsAPIKey","39.8220556","-77.2387845","1"
"344","NeedGoogleMapsAPIKey","39.8243928","-77.2343997","1"
"345","NeedGoogleMapsAPIKey","39.8075105","-77.2148006","1"
"346","NeedGoogleMapsAPIKey","39.8233576","-77.2319388","1"
"347","NeedGoogleMapsAPIKey","39.8034127","-77.2074103","1"
"348","NeedGoogleMapsAPIKey","39.8001127","-77.1957093","1"
"349","NeedGoogleMapsAPIKey","39.8255941","-77.2324091","1"
"350","NeedGoogleMapsAPIKey","39.8115555","-77.225994","1"
"351","NeedGoogleMapsAPIKey","39.826107","-77.2334206","1"
"352","NeedGoogleMapsAPIKey","39.8230008","-77.2351105","1"
"353","NeedGoogleMapsAPIKey","39.8234653","-77.2329813","1"
"354","NeedGoogleMapsAPIKey","39.8223793","-77.2307827","1"
"355","NeedGoogleMapsAPIKey","39.8216721","-77.2302658","1"
"356","NeedGoogleMapsAPIKey","39.820542","-77.2335063","1"
"357","NeedGoogleMapsAPIKey","39.8204024","-77.2379575","1"
"358","NeedGoogleMapsAPIKey","39.8018678","-77.2081792","1"
"359","NeedGoogleMapsAPIKey","39.8233588","-77.2323707","1"
"360","NeedGoogleMapsAPIKey","39.8134288","-77.2221657","1"
"361","NeedGoogleMapsAPIKey","39.7969208","-77.2492055","1"
"362","NeedGoogleMapsAPIKey","39.8171145","-77.2262936","1"
"363","NeedGoogleMapsAPIKey","39.8196994","-77.2372149","1"
"364","NeedGoogleMapsAPIKey","39.8269418","-77.2319974","1"
"365","NeedGoogleMapsAPIKey","39.7929401","-77.2305445","1"
"366","NeedGoogleMapsAPIKey","39.8205141","-77.2361248","1"
"367","NeedGoogleMapsAPIKey","39.8241433","-77.2295754","1"
"368","NeedGoogleMapsAPIKey","39.8186166","-77.2379823","1"
"369","NeedGoogleMapsAPIKey","39.8241555","-77.2313649","1"
"370","NeedGoogleMapsAPIKey","39.8220175","-77.2355819","1"
"371","NeedGoogleMapsAPIKey","39.7977941","-77.2195693","1"
"372","NeedGoogleMapsAPIKey","39.8202064","-77.2386942","1"
"373","NeedGoogleMapsAPIKey","39.8224624","-77.2359266","1"
"374","NeedGoogleMapsAPIKey","39.8110667","-77.220096","1"
"375","NeedGoogleMapsAPIKey","39.8215231","-77.2332284","1"
"376","NeedGoogleMapsAPIKey","39.8207694","-77.2398846","1"
