"Conewago Valley School District","5","3189","50","50"
"167","NeedGoogleMapsAPIKey","39.789968","-77.0432513","1"
"168","NeedGoogleMapsAPIKey","39.7942053","-77.0461343","1"
"169","NeedGoogleMapsAPIKey","39.7863377","-77.0465051","1"
"170","NeedGoogleMapsAPIKey","39.7933244","-77.0514519","1"
"171","NeedGoogleMapsAPIKey","39.7868852","-77.0437079","1"
"172","NeedGoogleMapsAPIKey","39.7966759","-77.0390675","1"
"173","NeedGoogleMapsAPIKey","39.7973784","-77.0402064","1"
"174","NeedGoogleMapsAPIKey","39.7912594","-77.046954","1"
"175","NeedGoogleMapsAPIKey","39.792088","-77.0487619","1"
"176","NeedGoogleMapsAPIKey","39.795468","-77.0485867","1"
"177","NeedGoogleMapsAPIKey","39.7836945","-77.042123","1"
"178","NeedGoogleMapsAPIKey","39.7948902","-77.0471902","1"
"179","NeedGoogleMapsAPIKey","39.7957574","-77.0481371","1"
"180","NeedGoogleMapsAPIKey","39.7903083","-77.0486362","1"
"181","NeedGoogleMapsAPIKey","39.7946095","-77.0521597","1"
"182","NeedGoogleMapsAPIKey","39.7867208","-77.0476261","1"
"183","NeedGoogleMapsAPIKey","39.790598","-77.0494885","1"
"184","NeedGoogleMapsAPIKey","39.7971154","-77.0437267","1"
"185","NeedGoogleMapsAPIKey","39.7979245","-77.0465033","1"
"186","NeedGoogleMapsAPIKey","39.7968517","-77.0378408","1"
"187","NeedGoogleMapsAPIKey","39.7972893","-77.0375344","1"
"188","NeedGoogleMapsAPIKey","39.7919105","-77.0477896","1"
"189","NeedGoogleMapsAPIKey","39.7962944","-77.0471675","1"
"190","NeedGoogleMapsAPIKey","39.7842432","-77.043537","1"
"191","NeedGoogleMapsAPIKey","39.7919735","-77.0462288","1"
"192","NeedGoogleMapsAPIKey","39.7869901","-77.0464478","1"
"193","NeedGoogleMapsAPIKey","39.7931219","-77.0512791","1"
"194","NeedGoogleMapsAPIKey","39.7880575","-77.0453392","1"
"195","NeedGoogleMapsAPIKey","39.7981375","-77.0401761","1"
"196","NeedGoogleMapsAPIKey","39.7895078","-77.0447082","1"
"197","NeedGoogleMapsAPIKey","39.7904434","-77.0470709","1"
"198","NeedGoogleMapsAPIKey","39.7934454","-77.0523293","1"
"199","NeedGoogleMapsAPIKey","39.7928508","-77.0468031","1"
"200","NeedGoogleMapsAPIKey","39.7897118","-77.0482369","1"
"201","NeedGoogleMapsAPIKey","39.7894508","-77.0438208","1"
"202","NeedGoogleMapsAPIKey","39.7867735","-77.0483219","1"
"203","NeedGoogleMapsAPIKey","39.7858383","-77.0456195","1"
"204","NeedGoogleMapsAPIKey","39.7950384","-77.0494435","1"
"205","NeedGoogleMapsAPIKey","39.7971373","-77.0382622","1"
"206","NeedGoogleMapsAPIKey","39.7923535","-77.0481108","1"
"207","NeedGoogleMapsAPIKey","39.796618","-77.0403879","1"
"208","NeedGoogleMapsAPIKey","39.7842674","-77.0424693","1"
"209","NeedGoogleMapsAPIKey","39.7875054","-77.048489","1"
"210","NeedGoogleMapsAPIKey","39.785938","-77.0437702","1"
"211","NeedGoogleMapsAPIKey","39.7977962","-77.0441372","1"
"212","NeedGoogleMapsAPIKey","39.7881865","-77.0477883","1"
"213","NeedGoogleMapsAPIKey","39.7835446","-77.043353","1"
"214","NeedGoogleMapsAPIKey","39.7966197","-77.0392923","1"
"215","NeedGoogleMapsAPIKey","39.7903237","-77.0500597","1"
"216","NeedGoogleMapsAPIKey","39.7874733","-77.0444153","1"
"217","NeedGoogleMapsAPIKey","39.7913883","-77.0486299","1"
"218","NeedGoogleMapsAPIKey","39.7901649","-77.0424868","1"
"219","NeedGoogleMapsAPIKey","39.7853271","-77.0437196","1"
"220","NeedGoogleMapsAPIKey","39.7941182","-77.0500009","1"
"221","NeedGoogleMapsAPIKey","39.7927561","-77.0470944","1"
"222","NeedGoogleMapsAPIKey","39.787022","-77.0449173","1"
"223","NeedGoogleMapsAPIKey","39.7978299","-77.0416072","1"
"224","NeedGoogleMapsAPIKey","39.7832676","-77.0425975","1"
"225","NeedGoogleMapsAPIKey","39.7862324","-77.0440065","1"
"226","NeedGoogleMapsAPIKey","39.7954513","-77.0492521","1"
"227","NeedGoogleMapsAPIKey","39.7943546","-77.0523903","1"
"228","NeedGoogleMapsAPIKey","39.7904822","-77.0453569","1"
"229","NeedGoogleMapsAPIKey","39.7918748","-77.0439048","1"
"230","NeedGoogleMapsAPIKey","39.7866379","-77.0444424","1"
"231","NeedGoogleMapsAPIKey","39.7928792","-77.0519693","1"
"232","NeedGoogleMapsAPIKey","39.7931397","-77.0521748","1"
"233","NeedGoogleMapsAPIKey","39.7902554","-77.0405593","1"
"234","NeedGoogleMapsAPIKey","39.7921995","-77.0464018","1"
"235","NeedGoogleMapsAPIKey","39.7853409","-77.0447612","1"
"236","NeedGoogleMapsAPIKey","39.7938293","-77.0487022","1"
"237","NeedGoogleMapsAPIKey","39.7939776","-77.037948","1"
"238","NeedGoogleMapsAPIKey","39.7886809","-77.0463305","1"
"239","NeedGoogleMapsAPIKey","39.797213","-77.0444869","1"
"240","NeedGoogleMapsAPIKey","39.792337","-77.050103","1"
"241","NeedGoogleMapsAPIKey","39.7905352","-77.0488304","1"
"242","NeedGoogleMapsAPIKey","39.7940561","-77.046431","1"
"243","NeedGoogleMapsAPIKey","39.79089","-77.0446688","1"
"244","NeedGoogleMapsAPIKey","39.7916202","-77.0471222","1"
"245","NeedGoogleMapsAPIKey","39.7967452","-77.0384797","1"
"246","NeedGoogleMapsAPIKey","39.7864416","-77.0442083","1"
"247","NeedGoogleMapsAPIKey","39.795415","-77.0498758","1"
"248","NeedGoogleMapsAPIKey","39.7957149","-77.0399071","1"
"249","NeedGoogleMapsAPIKey","39.785626","-77.0432726","1"
"250","NeedGoogleMapsAPIKey","39.7860084","-77.0427198","1"
"251","NeedGoogleMapsAPIKey","39.7978908","-77.0425364","1"
"252","NeedGoogleMapsAPIKey","39.793646","-77.0501697","1"
"253","NeedGoogleMapsAPIKey","39.7931921","-77.0462345","1"
"254","NeedGoogleMapsAPIKey","39.7969438","-77.0394539","1"
"255","NeedGoogleMapsAPIKey","39.7950072","-77.046889","1"
"256","NeedGoogleMapsAPIKey","39.7907775","-77.0454521","1"
"257","NeedGoogleMapsAPIKey","39.7906122","-77.0420023","1"
"258","NeedGoogleMapsAPIKey","39.7924485","-77.0465161","1"
"259","NeedGoogleMapsAPIKey","39.795198","-77.0484271","1"
"260","NeedGoogleMapsAPIKey","39.7983947","-77.0447679","1"
"261","NeedGoogleMapsAPIKey","39.7857485","-77.0441124","1"
"262","NeedGoogleMapsAPIKey","39.7897076","-77.0410893","1"
"263","NeedGoogleMapsAPIKey","39.788246","-77.045131","1"
"264","NeedGoogleMapsAPIKey","39.7972029","-77.0379776","1"
"265","NeedGoogleMapsAPIKey","39.7863928","-77.0452915","1"
"266","NeedGoogleMapsAPIKey","39.7917363","-77.0460277","1"
"267","NeedGoogleMapsAPIKey","39.7972568","-77.0409826","1"
"268","NeedGoogleMapsAPIKey","39.7872694","-77.0441701","1"
"269","NeedGoogleMapsAPIKey","39.7904595","-77.0408045","1"
"270","NeedGoogleMapsAPIKey","39.783804","-77.0429562","1"
"271","NeedGoogleMapsAPIKey","39.7908023","-77.0490027","1"
"272","NeedGoogleMapsAPIKey","39.7880565","-77.0470428","1"
"273","NeedGoogleMapsAPIKey","39.7928567","-77.0484144","1"
"274","NeedGoogleMapsAPIKey","39.7976537","-77.0391288","1"
"275","NeedGoogleMapsAPIKey","39.7966788","-77.0388344","1"
"276","NeedGoogleMapsAPIKey","39.7979342","-77.0484169","1"
"277","NeedGoogleMapsAPIKey","39.7943056","-77.0486792","1"
"278","NeedGoogleMapsAPIKey","39.7910197","-77.0430733","1"
"279","NeedGoogleMapsAPIKey","39.792052","-77.0499298","1"
"280","NeedGoogleMapsAPIKey","39.7862602","-77.0449616","1"
"281","NeedGoogleMapsAPIKey","39.784854","-77.045277","1"
"282","NeedGoogleMapsAPIKey","39.7901494","-77.0440325","1"
"283","NeedGoogleMapsAPIKey","39.7931173","-77.0506803","1"
"284","NeedGoogleMapsAPIKey","39.7853101","-77.0343204","1"
"285","NeedGoogleMapsAPIKey","39.7935917","-77.0493535","1"
"286","NeedGoogleMapsAPIKey","39.7841668","-77.0441588","1"
"287","NeedGoogleMapsAPIKey","39.7952642","-77.0501164","1"
"288","NeedGoogleMapsAPIKey","39.7926836","-77.0458832","1"
"289","NeedGoogleMapsAPIKey","39.7847362","-77.0429353","1"
"290","NeedGoogleMapsAPIKey","39.7979553","-77.0450408","1"
"291","NeedGoogleMapsAPIKey","39.7960572","-77.046968","1"
"292","NeedGoogleMapsAPIKey","39.786508","-77.0455986","1"
"293","NeedGoogleMapsAPIKey","39.794571","-77.046816","1"
"294","NeedGoogleMapsAPIKey","39.7947185","-77.0502857","1"
"295","NeedGoogleMapsAPIKey","39.7834194","-77.0442118","1"
"296","NeedGoogleMapsAPIKey","39.7934984","-77.0480235","1"
"297","NeedGoogleMapsAPIKey","39.7968243","-77.0424883","1"
"298","NeedGoogleMapsAPIKey","39.7939152","-77.0517994","1"
"299","NeedGoogleMapsAPIKey","39.797879","-77.0478491","1"
"300","NeedGoogleMapsAPIKey","39.7956874","-77.0487513","1"
"301","NeedGoogleMapsAPIKey","39.794842","-77.0518219","1"
"302","NeedGoogleMapsAPIKey","39.7949315","-77.0400215","1"
"303","NeedGoogleMapsAPIKey","39.790117","-77.0490189","1"
"304","NeedGoogleMapsAPIKey","39.791963","-77.0442293","1"
"305","NeedGoogleMapsAPIKey","39.7979364","-77.0467638","1"
"306","NeedGoogleMapsAPIKey","39.7977324","-77.0470787","1"
"307","NeedGoogleMapsAPIKey","39.7975901","-77.0402332","1"
"308","NeedGoogleMapsAPIKey","39.7910948","-77.0498437","1"
"309","NeedGoogleMapsAPIKey","39.7905949","-77.0435404","1"
"310","NeedGoogleMapsAPIKey","39.7907175","-77.0481019","1"
"311","NeedGoogleMapsAPIKey","39.7946459","-77.0490883","1"
"312","NeedGoogleMapsAPIKey","39.7951536","-77.047759","1"
"313","NeedGoogleMapsAPIKey","39.7925975","-77.0503085","1"
"314","NeedGoogleMapsAPIKey","39.7879656","-77.0479996","1"
"315","NeedGoogleMapsAPIKey","39.7981008","-77.0453816","1"
"316","NeedGoogleMapsAPIKey","39.794836","-77.048553","1"
"317","NeedGoogleMapsAPIKey","39.7836946","-77.0445549","1"
"318","NeedGoogleMapsAPIKey","39.7968798","-77.0400133","1"
"319","NeedGoogleMapsAPIKey","39.7970421","-77.038861","1"
"320","NeedGoogleMapsAPIKey","39.7865532","-77.0485516","1"
