"Bermudian Springs School District","3","1603","50","50"
"152","NeedGoogleMapsAPIKey","39.9332071","-77.045495","1"
"153","NeedGoogleMapsAPIKey","39.9318244","-77.0449136","1"
"154","NeedGoogleMapsAPIKey","39.9348222","-77.0591474","1"
"155","NeedGoogleMapsAPIKey","39.9336245","-77.0504785","1"
"156","NeedGoogleMapsAPIKey","39.9333166","-77.0458653","1"
"157","NeedGoogleMapsAPIKey","39.9314346","-77.0511","1"
"158","NeedGoogleMapsAPIKey","39.9336908","-77.0503563","1"
"159","NeedGoogleMapsAPIKey","39.9303979","-77.0545039","1"
"160","NeedGoogleMapsAPIKey","39.9357863","-77.0534017","1"
"161","NeedGoogleMapsAPIKey","39.9333278","-77.0496794","1"
"162","NeedGoogleMapsAPIKey","39.9330601","-77.0499387","1"
"163","NeedGoogleMapsAPIKey","39.9340689","-77.0466354","1"
"164","NeedGoogleMapsAPIKey","39.9339493","-77.0558227","1"
"165","NeedGoogleMapsAPIKey","39.9312662","-77.0524304","1"
"166","NeedGoogleMapsAPIKey","39.9327675","-77.0509747","1"
"167","NeedGoogleMapsAPIKey","39.9315492","-77.0527859","1"
"168","NeedGoogleMapsAPIKey","39.9356488","-77.057069","1"
"169","NeedGoogleMapsAPIKey","39.9335659","-77.0506007","1"
"170","NeedGoogleMapsAPIKey","39.9328585","-77.0506156","1"
"171","NeedGoogleMapsAPIKey","39.9331474","-77.0500233","1"
"172","NeedGoogleMapsAPIKey","39.9352059","-77.0587104","1"
"173","NeedGoogleMapsAPIKey","39.9321859","-77.0485115","1"
"174","NeedGoogleMapsAPIKey","39.936553","-77.0452865","1"
"175","NeedGoogleMapsAPIKey","39.9330333","-77.0433846","1"
"176","NeedGoogleMapsAPIKey","39.9329925","-77.0441064","1"
"177","NeedGoogleMapsAPIKey","39.9308046","-77.046371","1"
"178","NeedGoogleMapsAPIKey","39.9355231","-77.0574534","1"
"179","NeedGoogleMapsAPIKey","39.9353711","-77.0446393","1"
"180","NeedGoogleMapsAPIKey","39.9357475","-77.0522684","1"
"181","NeedGoogleMapsAPIKey","39.9322324","-77.0419615","1"
"182","NeedGoogleMapsAPIKey","39.9338512","-77.0434783","1"
"183","NeedGoogleMapsAPIKey","39.934144","-77.0578157","1"
"184","NeedGoogleMapsAPIKey","39.9335467","-77.0445552","1"
"185","NeedGoogleMapsAPIKey","39.9346821","-77.0459308","1"
"186","NeedGoogleMapsAPIKey","39.9291261","-77.0537788","1"
"187","NeedGoogleMapsAPIKey","39.934487","-77.046156","1"
"188","NeedGoogleMapsAPIKey","39.9303995","-77.0552065","1"
"189","NeedGoogleMapsAPIKey","39.9336778","-77.0452346","1"
"190","NeedGoogleMapsAPIKey","39.9324572","-77.0466092","1"
"191","NeedGoogleMapsAPIKey","39.9348721","-77.0588138","1"
"192","NeedGoogleMapsAPIKey","39.9303992","-77.0458181","1"
"193","NeedGoogleMapsAPIKey","39.9328067","-77.0510132","1"
"194","NeedGoogleMapsAPIKey","39.9315888","-77.0556042","1"
"195","NeedGoogleMapsAPIKey","39.9329495","-77.0471522","1"
"196","NeedGoogleMapsAPIKey","39.9300282","-77.0404147","1"
"197","NeedGoogleMapsAPIKey","39.9326458","-77.0493911","1"
"198","NeedGoogleMapsAPIKey","39.9349367","-77.0440726","1"
"199","NeedGoogleMapsAPIKey","39.9305981","-77.0523784","1"
"200","NeedGoogleMapsAPIKey","39.9316408","-77.0476621","1"
"201","NeedGoogleMapsAPIKey","39.9324295","-77.0475721","1"
"202","NeedGoogleMapsAPIKey","39.9335924","-77.0524695","1"
"203","NeedGoogleMapsAPIKey","39.9352754","-77.0540366","1"
"204","NeedGoogleMapsAPIKey","39.9352778","-77.0496584","1"
"205","NeedGoogleMapsAPIKey","39.931115","-77.0459848","1"
"206","NeedGoogleMapsAPIKey","39.9309174","-77.0480124","1"
"207","NeedGoogleMapsAPIKey","39.9312605","-77.0448568","1"
"208","NeedGoogleMapsAPIKey","39.9348293","-77.0444371","1"
"209","NeedGoogleMapsAPIKey","39.9302011","-77.0549873","1"
"210","NeedGoogleMapsAPIKey","39.9378425","-77.0589532","1"
"211","NeedGoogleMapsAPIKey","39.932119","-77.0502435","1"
"212","NeedGoogleMapsAPIKey","39.928635","-77.0533999","1"
"213","NeedGoogleMapsAPIKey","39.9314105","-77.0475011","1"
"214","NeedGoogleMapsAPIKey","39.9324653","-77.0439939","1"
"215","NeedGoogleMapsAPIKey","39.9366119","-77.0567303","1"
"216","NeedGoogleMapsAPIKey","39.9321615","-77.0439894","1"
"217","NeedGoogleMapsAPIKey","39.9314053","-77.0430688","1"
"218","NeedGoogleMapsAPIKey","39.9321387","-77.0459579","1"
"219","NeedGoogleMapsAPIKey","39.9349993","-77.0560689","1"
"220","NeedGoogleMapsAPIKey","39.934163","-77.0456399","1"
"221","NeedGoogleMapsAPIKey","39.9341056","-77.0573633","1"
"222","NeedGoogleMapsAPIKey","39.9311454","-77.051571","1"
"223","NeedGoogleMapsAPIKey","39.936855","-77.0566093","1"
"224","NeedGoogleMapsAPIKey","39.9312899","-77.0543719","1"
"225","NeedGoogleMapsAPIKey","39.9300689","-77.0531895","1"
"226","NeedGoogleMapsAPIKey","39.9333251","-77.0575144","1"
"227","NeedGoogleMapsAPIKey","39.9343991","-77.0479553","1"
"228","NeedGoogleMapsAPIKey","39.932724","-77.0440476","1"
"229","NeedGoogleMapsAPIKey","39.9330739","-77.0451405","1"
"230","NeedGoogleMapsAPIKey","39.9276943","-77.0523902","1"
"231","NeedGoogleMapsAPIKey","39.9352235","-77.0599159","1"
"232","NeedGoogleMapsAPIKey","39.9373211","-77.0452684","1"
"233","NeedGoogleMapsAPIKey","39.9329759","-77.0507272","1"
"234","NeedGoogleMapsAPIKey","39.931094","-77.0419793","1"
"235","NeedGoogleMapsAPIKey","39.9344506","-77.0436781","1"
"236","NeedGoogleMapsAPIKey","39.9320171","-77.0470122","1"
"237","NeedGoogleMapsAPIKey","39.9300302","-77.0541837","1"
"238","NeedGoogleMapsAPIKey","39.9332046","-77.050081","1"
"239","NeedGoogleMapsAPIKey","39.9310047","-77.0469376","1"
"240","NeedGoogleMapsAPIKey","39.9301489","-77.0415091","1"
"241","NeedGoogleMapsAPIKey","39.931509","-77.0424952","1"
"242","NeedGoogleMapsAPIKey","39.9334303","-77.0498105","1"
"243","NeedGoogleMapsAPIKey","39.9363447","-77.0563847","1"
"244","NeedGoogleMapsAPIKey","39.9335921","-77.0505376","1"
"245","NeedGoogleMapsAPIKey","39.933377","-77.0465182","1"
"246","NeedGoogleMapsAPIKey","39.9384428","-77.0499042","1"
"247","NeedGoogleMapsAPIKey","39.9351987","-77.0590943","1"
"248","NeedGoogleMapsAPIKey","39.9316127","-77.0500505","1"
"249","NeedGoogleMapsAPIKey","39.9338674","-77.0578765","1"
"250","NeedGoogleMapsAPIKey","39.9328134","-77.0505772","1"
"251","NeedGoogleMapsAPIKey","39.9335932","-77.057504","1"
"252","NeedGoogleMapsAPIKey","39.933585","-77.0448738","1"
"253","NeedGoogleMapsAPIKey","39.9342814","-77.0463959","1"
"254","NeedGoogleMapsAPIKey","39.9305974","-77.046083","1"
"255","NeedGoogleMapsAPIKey","39.9343628","-77.0453847","1"
"256","NeedGoogleMapsAPIKey","39.932047","-77.0539813","1"
"257","NeedGoogleMapsAPIKey","39.932924","-77.0414875","1"
"258","NeedGoogleMapsAPIKey","39.9353225","-77.0577766","1"
"259","NeedGoogleMapsAPIKey","39.9297079","-77.0538202","1"
"260","NeedGoogleMapsAPIKey","39.9354093","-77.050444","1"
"261","NeedGoogleMapsAPIKey","39.9353216","-77.04319","1"
"262","NeedGoogleMapsAPIKey","39.9237472","-77.053097","1"
"263","NeedGoogleMapsAPIKey","39.9323185","-77.0499414","1"
"264","NeedGoogleMapsAPIKey","39.930829","-77.053038","1"
"265","NeedGoogleMapsAPIKey","39.9367401","-77.0578528","1"
"266","NeedGoogleMapsAPIKey","39.9305948","-77.0554475","1"
"267","NeedGoogleMapsAPIKey","39.9326422","-77.0468626","1"
"268","NeedGoogleMapsAPIKey","39.9356453","-77.0551071","1"
"269","NeedGoogleMapsAPIKey","39.9335511","-77.0561735","1"
"270","NeedGoogleMapsAPIKey","39.9235923","-77.0529891","1"
"271","NeedGoogleMapsAPIKey","39.9336712","-77.0471264","1"
"272","NeedGoogleMapsAPIKey","39.9329037","-77.0426509","1"
